Finance Canonical Model:

| Domain                                | Type            | Entity / Concept                          | What it represents                                                | Key relationships                                                   | Confidence                          |
|                                       | Fact            | **Payroll Cost**                          | Total employer cost of workforce                                  | Payroll → Employee, Department, Cost Center, Period                 | 🔵 Essential                        |
|                                       | Derived Measure | **Fully Loaded Employee Cost**            | Compensation plus employer burden/benefits                        | Compensation + Taxes + Benefits                                     | 🟢 High                             |
| **Cash & Treasury**                   | Entity          | **Bank Account**                          | Account holding company cash                                      | Bank Account → Entity, Currency, Transactions                       | 🔵 Essential                        |
|                                       | Fact            | **Cash Balance**                          | Available cash at a point in time                                 | Bank Account × Currency × Time                                      | 🔵 Essential                        |
|                                       | Transaction     | **Cash Transaction**                      | Movement of cash into/out of bank accounts                        | Cash Transaction → Bank, Account, Counterparty                      | 🔵 Essential                        |
|                                       | Entity          | **Investment / Cash Instrument**          | Short- or long-term treasury investment                           | Investment → Cash, Entity, Currency, Yield                          | 🟢 High                             |
|                                       | Derived Measure | **Cash Runway**                           | Time company can operate at current burn                          | Cash ÷ Net Burn                                                     | 🔵 Essential for startups           |
|                                       | Derived Measure | **Net Burn**                              | Cash consumption over a period                                    | Cash Outflows − Cash Inflows                                        | 🔵 Essential for startups           |
|                                       | Derived Measure | **Free Cash Flow**                        | Cash generated after operating and investment needs               | Operating Cash Flow − CapEx                                         | 🔵 Essential                        |
| **Assets & Capitalization**           | Entity          | **Fixed Asset**                           | Capitalized physical/intangible asset                             | Asset → Entity, GL, Vendor, Depreciation Schedule                   | 🟢 High                             |
|                                       | Schedule        | **Depreciation / Amortization Schedule**  | Recognition of asset cost over useful life                        | Asset → Period → Expense                                            | 🔵 Essential                        |
|                                       | Transaction     | **Capital Expenditure (CapEx)**           | Investment in long-lived assets                                   | CapEx → Asset, Vendor, Project, Cash                                | 🔵 Essential                        |
|                                       | Entity          | **Lease**                                 | Contractual right/use of an asset                                 | Lease → Asset, Liability, Vendor, Period                            | 🟢 High                             |
| **Debt & Equity**                     | Entity          | **Debt Instrument**                       | Borrowing / financing arrangement                                 | Debt → Entity, Lender, Interest, Principal                          | 🟢 High                             |
|                                       | Fact            | **Debt Balance**                          | Outstanding principal                                             | Debt → Period, Entity                                               | 🟢 High                             |
|                                       | Fact            | **Interest Expense**                      | Cost of debt financing                                            | Debt → Interest → GL → Period                                       | 🟢 High                             |
|                                       | Entity          | **Equity / Ownership**                    | Ownership claims on the business                                  | Equity → Entity, Shareholders, Transactions                         | 🔵 Essential                        |
|                                       | Transaction     | **Equity Transaction**                    | Issuance, repurchase, option exercise, etc.                       | Equity → Investor/Holder, Entity, Period                            | 🟢 High                             |
| **Planning & Budgeting**              | Entity / Fact   | **Budget**                                | Approved financial plan                                           | Budget → Entity, Account, Cost Center, Period, Scenario             | 🔵 Essential                        |
|                                       | Fact            | **Budget Line**                           | Granular planned amount                                           | Budget Line → Account, Cost Center, Product, Period                 | 🔵 Essential                        |
|                                       | Entity          | **Forecast**                              | Expected future financial outcome                                 | Forecast → Scenario, Account, Entity, Period                        | 🔵 Essential                        |
|                                       | Fact            | **Forecast Line**                         | Granular forecasted amount                                        | Forecast Line → Account, Cost Center, Product, Period               | 🔵 Essential                        |
|                                       | Entity          | **Financial Plan**                        | Integrated forward-looking economic model                         | Plan → Revenue, Headcount, COGS, OpEx, CapEx, Cash                  | 🔵 Essential                        |
|                                       | Derived Measure | **Budget vs Actual**                      | Difference between planned and realized performance               | Actual − Budget                                                     | 🔵 Essential                        |
|                                       | Derived Measure | **Forecast vs Actual**                    | Difference between expected and realized performance              | Actual − Forecast                                                   | 🔵 Essential                        |
|                                       | Derived Measure | **Forecast Accuracy**                     | Quality of financial forecasting                                  | Actual vs Forecast                                                  | 🟢 High                             |
| **FP&A / Management Analytics**       | Derived Metric  | **Revenue**                               | Top-line economic output                                          | Revenue → Customer, Product, Contract, Period                       | 🔵 Essential                        |
|                                       | Derived Metric  | **COGS**                                  | Direct cost associated with delivering revenue                    | COGS → Product, Customer, Vendor, Resource                          | 🔵 Essential                        |
|                                       | Derived Metric  | **Gross Profit**                          | Revenue less COGS                                                 | Revenue − COGS                                                      | 🔵 Essential                        |
|                                       | Derived Metric  | **Gross Margin**                          | Gross profit as percentage of revenue                             | Gross Profit ÷ Revenue                                              | 🔵 Essential                        |
|                                       | Derived Metric  | **Operating Expense (OpEx)**              | Costs required to operate the business                            | OpEx → Department, Cost Center, GL, Period                          | 🔵 Essential                        |
|                                       | Derived Metric  | **EBITDA**                                | Operating profitability before specified non-cash/financing items | Revenue − COGS − OpEx +/− adjustments                               | 🔵 Essential                        |
|                                       | Derived Metric  | **EBIT / Operating Income**               | Profit after operating costs and D&A                              | Gross Profit − OpEx − D&A                                           | 🔵 Essential                        |
|                                       | Derived Metric  | **Net Income**                            | Bottom-line accounting profit                                     | Revenue − COGS − OpEx − Interest − Taxes                            | 🔵 Essential                        |
|                                       | Derived Metric  | **Operating Cash Flow**                   | Cash generated by core operations                                 | Net Income + Noncash Items + Working Capital Changes                | 🔵 Essential                        |
| **Financial Statements**              | Report / Fact   | **Income Statement / P&L**                | Financial performance over a period                               | Revenue, COGS, OpEx → EBITDA → Net Income                           | 🔵 Essential                        |
|                                       | Report / Fact   | **Balance Sheet**                         | Financial position at a point in time                             | Assets, Liabilities, Equity                                         | 🔵 Essential                        |
|                                       | Report / Fact   | **Cash Flow Statement**                   | Sources and uses of cash                                          | Operating, Investing, Financing Cash Flow                           | 🔵 Essential                        |
|                                       | Derived Measure | **Working Capital**                       | Capital tied up in operating cycle                                | AR + Inventory − AP − Other Operating Liabilities                   | 🔵 Essential                        |
|                                       | Derived Measure | **Net Working Capital Change**            | Period-over-period change in working capital                      | Current NWC − Prior NWC                                             | 🔵 Essential                        |
| **Unit Economics**                    | Dimension       | **Customer × Product**                    | Economic relationship between customer and offering               | Account × Product → Revenue, COGS, Margin                           | 🔵 Essential                        |
|                                       | Derived Measure | **Customer Gross Margin**                 | Gross profitability by customer                                   | Customer Revenue − Customer COGS                                    | 🟢 High                             |
|                                       | Derived Measure | **Product Gross Margin**                  | Gross profitability by product                                    | Product Revenue − Product COGS                                      | 🔵 Essential                        |
|                                       | Derived Measure | **Contribution Margin**                   | Profit after variable costs                                       | Revenue − Variable Costs                                            | 🔵 Essential                        |
|                                       | Derived Measure | **CAC**                                   | Cost to acquire a customer                                        | Sales + Marketing Acquisition Cost ÷ New Customers                  | 🔵 Essential for SaaS               |
|                                       | Derived Measure | **LTV**                                   | Estimated economic value of customer relationship                 | ARPU × Margin × Retention assumptions                               | 🔵 Essential for SaaS               |
|                                       | Derived Measure | **LTV / CAC**                             | Customer economics relative to acquisition cost                   | LTV ÷ CAC                                                           | 🔵 Essential for SaaS               |
|                                       | Derived Measure | **Payback Period**                        | Time to recover customer acquisition cost                         | CAC ÷ Contribution Margin / Period                                  | 🔵 Essential for SaaS               |
| **Working Capital Analytics**         | Derived Metric  | **AR Aging**                              | Distribution of outstanding receivables by age                    | AR × Customer × Aging Bucket                                        | 🔵 Essential                        |
|                                       | Derived Metric  | **AP Aging**                              | Distribution of outstanding payables by age                       | AP × Vendor × Aging Bucket                                          | 🔵 Essential                        |
|                                       | Derived Metric  | **Cash Conversion Cycle**                 | Time required to convert investment into cash                     | DSO + DIO − DPO                                                     | 🟢 High                             |
|                                       | Derived Metric  | **DSO**                                   | Receivables collection efficiency                                 | AR ÷ Revenue × Days                                                 | 🔵 Essential                        |
|                                       | Derived Metric  | **DPO**                                   | Payables payment efficiency                                       | AP ÷ COGS/Spend × Days                                              | 🟢 High                             |
| **Controls / Governance**             | Control         | **Approval**                              | Authorization for financial action                                | Approval → Transaction, Person, Policy                              | 🔵 Essential                        |
|                                       | Policy          | **Spend Policy**                          | Rules governing company expenditure                               | Policy → Employee, Expense, Vendor, Threshold                       | 🟢 High                             |
|                                       | Control         | **Financial Control**                     | Mechanism preventing/detecting financial error                    | Control → Process, Transaction, Owner                               | 🔵 Essential                        |
|                                       | Control         | **Audit Trail**                           | Historical record of financial changes                            | Audit Trail → User, Transaction, Timestamp, Before/After            | 🔵 Essential                        |
|                                       | Entity          | **Finance Owner**                         | Person accountable for financial process/data                     | Owner → Account, Process, Entity, Control                           | 🟢 High                             |
| **CFO / Executive Analytics**         | Derived Metric  | **Revenue Growth**                        | Rate of top-line growth                                           | Current Revenue vs Prior Period                                     | 🔵 Essential                        |
|                                       | Derived Metric  | **Gross Margin %**                        | Economic efficiency of revenue                                    | Gross Profit ÷ Revenue                                              | 🔵 Essential                        |
|                                       | Derived Metric  | **EBITDA Margin**                         | Operating profitability                                           | EBITDA ÷ Revenue                                                    | 🔵 Essential                        |
|                                       | Derived Metric  | **Operating Margin**                      | Operating income relative to revenue                              | EBIT ÷ Revenue                                                      | 🟢 High                             |
|                                       | Derived Metric  | **Burn Multiple**                         | Cash burned per unit of net new ARR/revenue                       | Net Burn ÷ Net New ARR                                              | 🔵 Essential for SaaS               |
|                                       | Derived Metric  | **Rule of 40**                            | Growth + profitability heuristic                                  | Revenue Growth % + EBITDA/FCF Margin %                              | 🟢 High for SaaS                    |
|                                       | Derived Metric  | **Revenue per Employee**                  | Productivity of workforce relative to revenue                     | Revenue ÷ FTE                                                       | 🔵 Essential                        |
|                                       | Derived Metric  | **OpEx per Employee**                     | Operating cost efficiency                                         | OpEx ÷ FTE                                                          | 🟢 High                             |
|                                       | Derived Metric  | **Plan Attainment**                       | Actual performance against financial plan                         | Actual ÷ Plan                                                       | 🔵 Essential                        |
